customer_id,signup_date,state,acquisition_channel,signup_year,signup_month
1,2024-09-13,CO,organic_search,2024,2024-09
2,2025-10-21,IL,paid_search,2025,2025-10
3,2025-01-17,AZ,referral,2025,2025-01
4,2024-06-23,FL,paid_social,2024,2024-06
5,2025-04-08,IL,paid_social,2025,2025-04
6,2025-10-23,OH,paid_social,2025,2025-10
7,2024-07-23,IL,paid_social,2024,2024-07
8,2025-03-07,TX,paid_search,2025,2025-03
9,2024-05-19,WA,paid_search,2024,2024-05
10,2025-08-14,TX,organic_search,2025,2025-08
11,2024-11-23,SC,paid_search,2024,2024-11
12,2025-04-16,CO,organic_search,2025,2025-04
13,2025-07-24,TX,referral,2025,2025-07
14,2025-05-06,SC,paid_search,2025,2025-05
15,2025-07-29,CA,paid_search,2025,2025-07
16,2024-06-23,NY,paid_search,2024,2024-06
17,2025-03-08,UT,organic_search,2025,2025-03
18,2023-09-19,LA,referral,2023,2023-09
19,2024-03-29,PA,organic_search,2024,2024-03
20,2024-07-13,GA,organic_search,2024,2024-07
21,2025-05-03,WA,paid_search,2025,2025-05
22,2025-07-22,LA,paid_social,2025,2025-07
23,2025-06-01,MD,paid_social,2025,2025-06
24,2025-02-26,KS,paid_social,2025,2025-02
25,2025-10-17,FL,organic_search,2025,2025-10
26,2025-07-14,OK,organic_search,2025,2025-07
27,2025-12-02,FL,paid_search,2025,2025-12
28,2024-08-12,UT,paid_search,2024,2024-08
29,2024-08-29,TX,referral,2024,2024-08
30,2025-03-13,CA,referral,2025,2025-03
31,2025-10-27,OK,paid_search,2025,2025-10
32,2025-09-19,TX,paid_search,2025,2025-09
33,2024-04-06,PA,organic_search,2024,2024-04
34,2024-12-26,NY,paid_social,2024,2024-12
35,2025-12-19,MO,affiliate,2025,2025-12
36,2024-02-23,GA,organic_search,2024,2024-02
37,2025-03-26,CA,organic_search,2025,2025-03
38,2024-02-03,CO,referral,2024,2024-02
39,2024-08-27,CA,organic_search,2024,2024-08
40,2025-10-05,KS,paid_search,2025,2025-10
41,2025-03-03,IA,paid_search,2025,2025-03
42,2025-06-14,UT,paid_social,2025,2025-06
43,2025-06-21,NY,organic_search,2025,2025-06
44,2025-05-08,CA,organic_search,2025,2025-05
45,2025-11-08,MO,organic_search,2025,2025-11
46,2025-05-23,PA,paid_search,2025,2025-05
47,2025-04-21,NJ,affiliate,2025,2025-04
48,2024-02-02,PA,referral,2024,2024-02
49,2025-10-20,MI,paid_search,2025,2025-10
50,2024-10-18,IL,paid_search,2024,2024-10
51,2024-12-18,OH,organic_search,2024,2024-12
52,2025-07-22,IL,organic_search,2025,2025-07
53,2025-04-18,VA,organic_search,2025,2025-04
54,2024-10-26,WA,referral,2024,2024-10
55,2025-04-08,NY,email,2025,2025-04
56,2025-05-24,NY,affiliate,2025,2025-05
57,2024-02-05,NJ,paid_social,2024,2024-02
58,2025-06-12,IN,affiliate,2025,2025-06
59,2024-12-03,MI,affiliate,2024,2024-12
60,2025-06-16,CT,paid_social,2025,2025-06
61,2025-11-30,IN,affiliate,2025,2025-11
62,2023-09-20,NY,paid_social,2023,2023-09
63,2024-10-02,GA,organic_search,2024,2024-10
64,2025-10-08,FL,organic_search,2025,2025-10
65,2025-07-17,CA,referral,2025,2025-07
66,2024-01-30,CA,paid_search,2024,2024-01
67,2024-11-29,PA,organic_search,2024,2024-11
68,2024-06-01,WA,paid_social,2024,2024-06
69,2025-01-30,FL,organic_search,2025,2025-01
70,2025-01-01,MN,paid_search,2025,2025-01
71,2024-11-04,OR,organic_search,2024,2024-11
72,2024-05-05,OH,organic_search,2024,2024-05
73,2024-11-09,TX,paid_social,2024,2024-11
74,2025-06-04,NY,paid_search,2025,2025-06
75,2025-10-01,NY,referral,2025,2025-10
76,2025-12-17,VA,paid_search,2025,2025-12
77,2024-10-01,PA,organic_search,2024,2024-10
78,2024-06-15,GA,paid_search,2024,2024-06
79,2024-06-09,OR,organic_search,2024,2024-06
80,2024-12-19,AZ,paid_social,2024,2024-12
81,2025-02-15,TX,paid_search,2025,2025-02
82,2025-01-22,OH,referral,2025,2025-01
83,2025-03-12,IA,paid_social,2025,2025-03
84,2024-07-16,CA,referral,2024,2024-07
85,2024-07-28,OK,email,2024,2024-07
86,2025-09-15,NM,paid_social,2025,2025-09
87,2025-11-02,IA,paid_social,2025,2025-11
88,2025-08-08,VA,organic_search,2025,2025-08
89,2023-10-16,GA,email,2023,2023-10
90,2024-04-09,PA,paid_search,2024,2024-04
91,2025-06-06,FL,paid_search,2025,2025-06
92,2023-10-07,CA,organic_search,2023,2023-10
93,2025-03-31,WA,paid_social,2025,2025-03
94,2025-03-03,NY,email,2025,2025-03
95,2023-10-31,TX,organic_search,2023,2023-10
96,2024-05-15,NY,paid_social,2024,2024-05
97,2025-04-29,CA,paid_search,2025,2025-04
98,2024-09-07,MD,organic_search,2024,2024-09
99,2025-03-05,CO,paid_social,2025,2025-03
100,2024-06-09,NC,organic_search,2024,2024-06
101,2025-08-20,MO,paid_social,2025,2025-08
102,2025-09-18,TX,paid_social,2025,2025-09
103,2025-12-07,TN,affiliate,2025,2025-12
104,2025-03-09,OH,paid_search,2025,2025-03
105,2024-08-20,CA,paid_social,2024,2024-08
106,2025-01-22,WA,organic_search,2025,2025-01
107,2024-02-17,NY,paid_search,2024,2024-02
108,2024-05-13,AZ,paid_social,2024,2024-05
109,2025-09-22,IA,paid_social,2025,2025-09
110,2025-09-22,CA,paid_social,2025,2025-09
111,2025-11-16,CA,organic_search,2025,2025-11
112,2025-06-07,FL,organic_search,2025,2025-06
113,2025-06-21,IL,email,2025,2025-06
114,2024-03-15,CT,organic_search,2024,2024-03
115,2024-03-14,IL,organic_search,2024,2024-03
116,2024-02-22,TX,paid_search,2024,2024-02
117,2024-10-28,FL,organic_search,2024,2024-10
118,2024-11-27,FL,email,2024,2024-11
119,2024-11-11,GA,organic_search,2024,2024-11
120,2025-10-26,VA,affiliate,2025,2025-10
121,2025-08-29,FL,paid_social,2025,2025-08
122,2024-11-17,KS,organic_search,2024,2024-11
123,2024-06-01,TN,organic_search,2024,2024-06
124,2025-02-10,NY,referral,2025,2025-02
125,2024-01-17,KY,paid_social,2024,2024-01
126,2024-01-24,NJ,referral,2024,2024-01
127,2025-11-19,MI,paid_social,2025,2025-11
128,2025-11-07,MI,email,2025,2025-11
129,2024-11-05,TX,paid_search,2024,2024-11
130,2025-12-11,KY,organic_search,2025,2025-12
131,2024-10-09,CA,organic_search,2024,2024-10
132,2025-12-19,NY,paid_search,2025,2025-12
133,2024-08-29,VA,organic_search,2024,2024-08
134,2025-10-14,TX,paid_social,2025,2025-10
135,2024-06-03,CT,email,2024,2024-06
136,2025-06-06,FL,paid_social,2025,2025-06
137,2024-07-01,GA,organic_search,2024,2024-07
138,2024-12-18,OH,organic_search,2024,2024-12
139,2024-10-01,TX,organic_search,2024,2024-10
140,2024-06-07,MN,paid_social,2024,2024-06
141,2024-03-12,VA,organic_search,2024,2024-03
142,2025-09-29,OR,organic_search,2025,2025-09
143,2024-08-11,GA,paid_search,2024,2024-08
144,2024-11-23,NV,email,2024,2024-11
145,2024-09-26,CA,email,2024,2024-09
146,2024-09-30,TX,paid_search,2024,2024-09
147,2025-12-02,FL,organic_search,2025,2025-12
148,2025-08-22,OK,email,2025,2025-08
149,2025-07-19,IN,affiliate,2025,2025-07
150,2025-09-29,MD,email,2025,2025-09
151,2025-04-03,FL,paid_search,2025,2025-04
152,2025-05-23,CA,organic_search,2025,2025-05
153,2025-10-09,TX,organic_search,2025,2025-10
154,2024-01-27,IN,email,2024,2024-01
155,2024-07-30,WA,paid_social,2024,2024-07
156,2025-09-13,MO,affiliate,2025,2025-09
157,2024-09-25,OR,organic_search,2024,2024-09
158,2025-07-24,NC,referral,2025,2025-07
159,2024-03-09,GA,affiliate,2024,2024-03
160,2025-05-08,OR,organic_search,2025,2025-05
161,2025-08-12,TX,organic_search,2025,2025-08
162,2025-01-10,CA,organic_search,2025,2025-01
163,2024-01-04,FL,paid_search,2024,2024-01
164,2025-10-21,NJ,paid_social,2025,2025-10
165,2025-10-13,OH,organic_search,2025,2025-10
166,2025-04-29,CT,email,2025,2025-04
167,2025-05-30,OK,email,2025,2025-05
168,2025-03-02,MI,organic_search,2025,2025-03
169,2025-11-28,GA,paid_social,2025,2025-11
170,2024-07-30,MD,organic_search,2024,2024-07
171,2024-12-13,NC,organic_search,2024,2024-12
172,2025-01-10,TN,organic_search,2025,2025-01
173,2025-10-06,MA,organic_search,2025,2025-10
174,2025-10-28,MD,referral,2025,2025-10
175,2024-10-12,PA,organic_search,2024,2024-10
176,2025-10-05,CA,paid_search,2025,2025-10
177,2025-09-21,CA,affiliate,2025,2025-09
178,2025-10-06,CA,organic_search,2025,2025-10
179,2025-11-30,TX,email,2025,2025-11
180,2025-08-20,TX,paid_search,2025,2025-08
181,2024-03-21,CA,email,2024,2024-03
182,2025-08-24,CA,organic_search,2025,2025-08
183,2025-08-29,AZ,organic_search,2025,2025-08
