year,month_num,revenue,orders
2024,1,54389.51,263
2024,2,63274.62,278
2024,3,71769.38,296
2024,4,64768.740000000005,292
2024,5,73652.84,307
2024,6,67205.38,300
2024,7,77269.04000000001,322
2024,8,62683.57,291
2024,9,60054.020000000004,255
2024,10,68387.83,308
2024,11,100587.34,522
2024,12,86744.18000000001,433
2025,1,73030.82,303
2025,2,70451.19,305
2025,3,78710.31,352
2025,4,79889.5,372
2025,5,83113.31,367
2025,6,92238.32,373
2025,7,83372.59,343
2025,8,91426.06,371
2025,9,75187.52,336
2025,10,82005.58,379
2025,11,129934.23,618
2025,12,91129.2,470
