order_id,customer_id,order_date,status,payment_method,discount_code,shipping_fee,month,year,month_num
100001,1530,2024-01-01 09:24:45,completed,credit_card,,6.95,2024-01,2024,1
100002,3531,2024-01-01 10:37:49,completed,credit_card,,0.0,2024-01,2024,1
100003,840,2024-01-01 10:59:09,completed,credit_card,,0.0,2024-01,2024,1
100004,725,2024-01-01 12:48:34,completed,apple_pay,welcome10,0.0,2024-01,2024,1
100005,3452,2024-01-01 17:44:03,completed,gift_card,,0.0,2024-01,2024,1
100006,3531,2024-01-01 19:10:50,completed,credit_card,,0.0,2024-01,2024,1
100007,1891,2024-01-01 23:25:28,returned,credit_card,,0.0,2024-01,2024,1
100008,683,2024-01-02 06:08:36,completed,paypal,,0.0,2024-01,2024,1
100009,1867,2024-01-02 10:16:04,completed,credit_card,,0.0,2024-01,2024,1
100010,1579,2024-01-02 15:18:14,completed,paypal,,0.0,2024-01,2024,1
100011,572,2024-01-02 15:20:47,completed,apple_pay,,0.0,2024-01,2024,1
100012,1867,2024-01-02 15:36:34,completed,credit_card,,6.95,2024-01,2024,1
100013,572,2024-01-02 15:45:46,completed,apple_pay,,0.0,2024-01,2024,1
100014,2119,2024-01-02 15:58:55,completed,apple_pay,,6.95,2024-01,2024,1
100015,3531,2024-01-02 16:05:46,completed,credit_card,,0.0,2024-01,2024,1
100016,1979,2024-01-02 18:20:28,completed,credit_card,,0.0,2024-01,2024,1
100017,1936,2024-01-02 18:38:37,completed,paypal,,0.0,2024-01,2024,1
100018,2221,2024-01-02 18:56:18,completed,credit_card,,6.95,2024-01,2024,1
100019,725,2024-01-02 19:39:07,completed,apple_pay,,0.0,2024-01,2024,1
100020,1579,2024-01-02 19:52:47,completed,credit_card,,0.0,2024-01,2024,1
100021,3260,2024-01-02 21:33:19,returned,paypal,,0.0,2024-01,2024,1
100022,2577,2024-01-03 07:02:06,completed,credit_card,,0.0,2024-01,2024,1
100023,1579,2024-01-03 09:51:24,completed,credit_card,,0.0,2024-01,2024,1
100024,3250,2024-01-03 11:34:08,completed,apple_pay,,0.0,2024-01,2024,1
100025,1891,2024-01-03 14:35:26,completed,credit_card,,0.0,2024-01,2024,1
100026,307,2024-01-03 17:53:45,completed,credit_card,,0.0,2024-01,2024,1
100027,3093,2024-01-03 19:39:16,completed,gift_card,,0.0,2024-01,2024,1
100028,612,2024-01-04 06:28:07,completed,credit_card,,0.0,2024-01,2024,1
100029,550,2024-01-04 17:53:16,completed,credit_card,,0.0,2024-01,2024,1
